Bunga;Kembang;descripsi
Bungkuk;Atas;descripsi
Bungko;Gunung;descripsi
Bungkang;Ketang, Kepiting;descripsi
Bungkaing;Jamur;descripsi
Bungkut;Punggung;descripsi
Bunom;Awan;descripsi
Bunoi;Seperti;descripsi
Busak;Gemetar;descripsi
Busuk;Buka, Kembangkan;descripsi
Buta;Tanah;descripsi
Buunia;Begini;descripsi
Buunoko;Begitu;descripsi
Buungi;Belah, Tetas;descripsi
Buut;Lubang;descripsi
Buukon;Berbubuk;descripsi
Bunsang;Tanam, Tancap;descripsi
Buntoyong;Hamil;descripsi
Buyuk-buyuk;Nyamuk Kecil;descripsi
Daa;Sejak;descripsi
Daano;Ada;descripsi
Dadakang;Kebesaran (Bentuknya);descripsi
Dadan;Merembesi (Sifat Asli);descripsi
Delep;Jilat;descripsi
Dam;Sedang;descripsi
Dampas;Lari;descripsi
Dampasan;Tempat/Waktu Lari;descripsi
Damut;Kacau Balau;descripsi
Dampun;Pakaian Bayi;descripsi
Domba;Disana;descripsi
Dimba;Disini;descripsi
Doimbaa;Disitu;descripsi
Dangkil;Kambing jantan;descripsi
Danggon;Masih Ada;descripsi
Danggu;Punyaku;descripsi
Danggul Asu;Anjing;descripsi
Danggul Babui;Babi;descripsi
Dapit;Jepit;descripsi
Dapito;Sudah Lumpuh;descripsi
Dapul;Dapur;descripsi
Daradak;Banyak Sekali;descripsi
Dasal;Tikar;descripsi
Daunggene;Ikutkan;descripsi
Dedeng;Luka;descripsi
Dengas;Sumbing;descripsi
Deli;Gembira;descripsi
Delepio;Jilati;descripsi
Depel;Wasir, Ambeyen;descripsi
Diala;Peti Mati;descripsi
Doi;Di;descripsi
Didip;Kilat;descripsi
Dikat;Labu;descripsi
Dili;Diri;descripsi
Dilindo;Badannya, Dirinya;descripsi
Dilep;Mengkilat;descripsi
Dinaanokon;Diadakan;descripsi
Dinoodokon;Dijarangkan;descripsi
Dinuup;Dihisap;descripsi
Do, Nia;Ini, Itu;descripsi
Dadate;Enggan;descripsi
Dodi;Sinting, Gila;descripsi
Dodomi;Ari-ari;descripsi
Doi;Duit, Uang;descripsi
DoiBundu;Dibelakang;descripsi
Doitumbe;Diawal;descripsi
Doiyamo;Sudah Itu;descripsi
Doiyaa;Kemana;descripsi
Dompot;Lolos;descripsi
Dongo, Dongol;Duduk Terdiam;descripsi
Donggon;Menjauh Dahulu;descripsi
Dogkang;Kebodohan;descripsi
Donga;Ambil;descripsi
Donga;Bodoh;descripsi
Dongkitan;Jangkit;descripsi
Dopi;Papan;descripsi
Dopol;Menghalangi;descripsi
Doso;Pantang;descripsi
Dosumai;Kemari;descripsi
Dowa;Pagi;descripsi
Du;Hingga, Terus, Lalu;descripsi
Duampakon;Lalu Pergi;descripsi
Duokon;Dorong;descripsi
Dudimba;Hingga Disini;descripsi
Dudumbala;Terus Kesana;descripsi
Duduk;Duduk;descripsi
Dudukan;Tempat/Waktu Duduk;descripsi
Dudus;Muka, Wajah;descripsi
Dumbak;Sampai;descripsi
Dumeas;Sembilu;descripsi
Dun;Pabrik;descripsi
Dungol;Berdiam;descripsi
Dunggul;Susul, Sampai Batas;descripsi
Dul;Menolak dari dalam;descripsi
Dulang;Dulang, baki;descripsi
Duokan, Duwolkon;Tolak, Dorong;descripsi
Ea ea;Pikun;descripsi
Eaan;Segan;descripsi
Ebese;Bagi;descripsi
Ededengel;Menengadah;descripsi
Ee;Larut, Mencair;descripsi
Eenai;Tunggu;descripsi
eese;Perhatikan;descripsi
Eegeegelo;Congkak, Sombong;descripsi
Ekeete;Persambungkan;descripsi
Ekelebus;Tuangkan;descripsi
Ekemelayo;Merekanlah;descripsi
Elengele;Jelas;descripsi
Memel;Dingin;descripsi
Elembani;Hilangkan;descripsi
Eketese;Perjelas;descripsi
Eleiyo;Lewati;descripsi
Empele;Tambalkan;descripsi
Enayo;Jagalah;descripsi
Endeenge;Tumpangkan;descripsi
Engel;Ajak;descripsi
Enenge;Ketagihan;descripsi
Enget;Merengek;descripsi
Esa;Waktu Sholat Isya;descripsi
Eseenen;Hari Senin;descripsi
Eseketio;Percepatlah;descripsi
Eteenge;Tenangkanlah, Tetapkanlah;descripsi
Etetenge;Kumpulkan;descripsi
Epepeyo;Halangilah;descripsi
Gabus;Gabus;descripsi
Gade;Gadai;descripsi
Gagaai;Gugat, Bantah;descripsi
Galagode;Menggodai;descripsi
Galagapan;Kebingungan;descripsi
Galal;Bincang;descripsi
Gamut;Kalangkabut;descripsi
Gandang;Gendang;descripsi
Gawu;Kalakuan;descripsi
Gili-giling;Putar-putar;descripsi
Gong;Gong;descripsi
Gogang;Gombal, Rayu;descripsi
Gogowan;Perkebunan;descripsi
Goloi;Campur;descripsi
Got;Parit, Saluran Air;descripsi
Gula, Mamisan;Gula;descripsi
Guruk;Guntur;descripsi
Ia iamo;Mana-mana;descripsi
Ianu;Si Anu;descripsi
Layon;Tanaman;descripsi
Iaku;Saya;descripsi
Iana;Dia;descripsi
Ianila;Mereka;descripsi
I Kami;Kami;descripsi
I Komuyu;Kamu;descripsi
Igama;Agama;descripsi
Ilei;Pilih;descripsi
Ilul;Ludah, Liur;descripsi
Iman;Iman;descripsi
Impit;Melekat;descripsi
Inak;Lemak;descripsi
Inala;Diambil;descripsi
Inai;Jangan;descripsi
Inaison;Dibuang;descripsi
Inda;Ayo;descripsi
Indaa;Disana;descripsi
Indee;Siapa;descripsi
Ingat;Ingat;descripsi
Inutubu;Dipelihara;descripsi
Inokoot;Diikat;descripsi
Inosulu;Diusir;descripsi
Inum;Minnum;descripsi
Isilam;Islam;descripsi
Iyayong;Hewan Pelihara;descripsi
Iyos;Resah, Gelisah;descripsi
Jago;Jago;descripsi
jajian;Kejadian;descripsi
Jambatan;Jembatan;descripsi
Jandi;Janji;descripsi
Jamaan;Cantik;descripsi
Jodo;Jodoh;descripsi
Jonga;Rusah;descripsi
Jogug;Perdana Menteri Kerajaan Banggai;descripsi
Jou;Guru, Guru Mengaji;descripsi
Kaan;Makan;descripsi
Kaanan, kakaanan;Makanan;descripsi
Kaasa;Kaya Raya;descripsi
Kaasiasi;Fakir Miskin;descripsi
Kabai, Kubai;Buat, Bikin;descripsi
Kabal;Kebal;descripsi
Kabi, Tago;Hampir, Nyaris, Minta;descripsi
Dodi;Gila;descripsi
Kabus, Malaus;Habis, Halus;descripsi
Kabuut, Kadut;Layar;descripsi
Kadal;Kadal;descripsi
Kakadukon, Kadu-kadukon;Paru-Paru;descripsi
Kadempeng, Mange;Ompong;descripsi
Kakat, Kokotii;Gigit;descripsi
Kakal;Antusias, Bersemangat, Cakar, Keras;descripsi
Kakadak;Jerih Payah, Kerja Keras;descripsi
Kakabai, Kokubai;Perbuatan;descripsi
Kakabaino;Meskipun;descripsi
Kakabaikono;Telah Seperti;descripsi
Kakalakon;Pura-pura Kalah;descripsi
Kakalapus;Menghilang Jejak;descripsi
Karambau;Kerbau;descripsi
Kalait, Sosiduk;Tombak;descripsi
Kalalatan, Kallatan, Pokallatan;Berbatasan;descripsi
Bokukum;Baju;descripsi
Toik;Sarung, Kain;descripsi
Kalasoi, Bubu;Sero;descripsi
Kalasan;Wasiat;descripsi
Kalaolao;Luntang lantung, Terlantar;descripsi
Kaleengis, Kadengis;Sumbing;descripsi
Kali;Gali;descripsi
Kaliangano;Beragam, Macam Jenis;descripsi
Kalimbombong;Mimisan;descripsi
Kalipa;Sahabat;descripsi
Kalipoopok, Kalipook, Kikiik, kalipokan, Londomi;Gelap;descripsi
Kalisoosok;Cicak;descripsi
Kaloang, Kolong, Kailong;Burung Bangau;descripsi
Kalong;Kalung;descripsi
Kalu;Kalau, Jika, Apabila;descripsi
Kaluangkang;Laba-laba;descripsi
Kalukubon;Kurang Sehat;descripsi
Kalut, Karut, Lorong;Garuk;descripsi
Kamali;Istana, Rumah Adat;descripsi
Kamangian;Kemenyan, Dupa;descripsi
Kamba, Komba;Mandul;descripsi
Kambang;Belang;descripsi
Kambalo;Teguran;descripsi
Kambing;Rewel, Bawel;descripsi
Kambot;Terbakar;descripsi
Kamot;Jepit;descripsi
Kampul;Getah;descripsi
Kamumu;Ungu;descripsi
Kana;Benar;descripsi
Totuukon;Kena;descripsi
Kanao;Enau, Ijuk;descripsi
Kanakene;Pakaikan, Kenakan, Benarkan;descripsi
Kananam, Tamisan;Enak, Gurih, Lezat;descripsi
Kanaan;Manfaat, Kegunaan;descripsi
Kanali;Buah Kenari;descripsi
Beaum;Kemiri;descripsi
Kai;Atau, Lagi;descripsi
Kait;Menyalah;descripsi
Kapalan, Nanasi;Nenas;descripsi
Kaiton;Gantunglah;descripsi
Kapatu;Kirim;descripsi
