Bobosul,Kenyang,-
Bobogil,"Harum, Wangi",-
Boloa,"Panu, Kurap",-
Boboi,Ikatan,-
Bobone,Kuat,-
Bobonua,Rumah-Rumah,-
bobonongko,Membungkuk,-
Boboool,Subur,-
Bobindukon,Jambu Air,-
Bobuluk,Jahat,-
Bobunteang,"Gendut, Buncit",-
Bobunsak,Lebat,-
Babuntongi,Gemuk,-
Bobuu,Bengkak,-
Boit,Angkat Kening,-
Boine,Perempuan,-
Bokawu,Pohon Beringin,-
Babasal,Besar,-
Bokum,Kental,-
Bokukum,Baju,-
Bokinde,Jagung,-
Bokiki,Kadas,-
Bokitul,Tumpul,-
Bokol,Ombak,-
Bolilii,"Ubah, Ganti",-
Bolikon,Bukan,-
Bolit,Ikatan,-
Bolosi,Sahut,-
Bolok,Darah Haid,-
Boloki,Istri,-
Bolong,Mandul,-
Bonon,"Kera, Monyet",-
Boluki,Telur Busuk,-
Bolung,Perang,-
Bondolong,Tebal,-
Bondo,Lenyap,-
Bone,Pasir,-
Bong,Bongkok,-
Bongkolon,"Tertindih, Tertimpah",-
Bongkung,Bungkuk,-
Bongkot,Dahi,-
Bongol,Tuli,-
Bonggon,Rotan,-
Bonua,Rumah,-
Booli,Buang,-
Boolu,Baru,-
Boto,Judi,-
Botokon,Lengan,-
Boulon,Kuah Sayur,-
Buayakis,Jambu Mente,-
Buang,Lubang,-
Buani,Jala,-
Buas,"Redah, Berhenti",-
Buasasak,"Hujan Panas, Gerimis",-
Buat,Harta,-
Buate,angkat,-
Bubukon,Berbubuk,-
Bubung,Sumur,-
Bubut,Buta,-
Bubuti,Berkembang Biak,-
Bubuul,Berjalan-jalan,-
Budo,Begitu,-
Budodoiya,Tadi,-
Budul,Bohong,-
Buk,Rambut,-
Bukaka,Kupu-Kupu,-
Bukal,Mendidih,-
Bukkon,"Bertandah Pecah, Retak",-
Bukoti,Tikus,-
Buku,Tulang,-
Bukuan,Kuat,-
Bul,Asap,-
Bulaii,"Tolong, Bantu",-
Bulaa,Berapa,-
Bulamo,Bagaimana,-
Bulak,Berbunga,-
Bulandokon,"Kenapa, Mengapa",-
Bulalongo,Hutan Belantara,-
Bulung,"Rumput, Leher",-
Bulusan,Panjang,-
Bulus,Mengalir,-
Buluson,Tertimpa Aliran,-
Buluon,Berbulu-bulu,-
Bundai,Terlepas,-
Bundu,Ujung,-
Buung,Pecakan,-
Bunga,Kembang,-
Bungkuk,Atas,-
Bungko,Gunung,-
Bungkang,"Ketang, Kepiting",-
Bungkaing,Jamur,-
Bungkut,Punggung,-
Bunom,Awan,-
Bunoi,Seperti,-
Busak,Gemetar,-
Busuk,"Buka, Kembangkan",-
Buta,Tanah,-
Buunia,Begini,-
Buunoko,Begitu,-
Buungi,"Belah, Tetas",-
Buut,Lubang,-
Buukon,Berbubuk,-
Bunsang,"Tanam, Tancap",-
Buntoyong,Hamil,-
Buyuk-buyuk,Nyamuk Kecil,-
Daa,Sejak,-
Daano,Ada,-
Dadakang,Kebesaran (Bentuknya),-
Dadan,Merembesi (Sifat Asli),-
Delep,Jilat,-
Dam,Sedang,-
Dampas,Lari,-
Dampasan,Tempat/Waktu Lari,-
Damut,Kacau Balau,-
Dampun,Pakaian Bayi,-
Domba,Disana,-
Dimba,Disini,-
Doimbaa,Disitu,-
Dangkil,Kambing jantan,-
Danggon,Masih Ada,-
Danggu,Punyaku,-
Danggul Asu,Anjing,-
Danggul Babui,Babi,-
Dapit,Jepit,-
Dapito,Sudah Lumpuh,-
Dapul,Dapur,-
Daradak,Banyak Sekali,-
Dasal,Tikar,-
Daunggene,Ikutkan,-
Dedeng,Luka,-
Dengas,Sumbing,-
Deli,Gembira,-
Delepio,Jilati,-
Depel,"Wasir, Ambeyen",-
Diala,Peti Mati,-
Doi,Di,-
Didip,Kilat,-
Dikat,Labu,-
Dili,Diri,-
Dilindo,"Badannya, Dirinya",-
Dilep,Mengkilat,-
Dinaanokon,Diadakan,-
Dinoodokon,Dijarangkan,-
Dinuup,Dihisap,-
"Do, Nia","Ini, Itu",-
Dadate,Enggan,-
Dodi,"Sinting, Gila",-
Dodomi,Ari-ari,-
Doi,"Duit, Uang",-
DoiBundu,Dibelakang,-
Doitumbe,Diawal,-
Doiyamo,Sudah Itu,-
Doiyaa,Kemana,-
Dompot,Lolos,-
